Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A833800,,5/5/2021 17:08,5/5/2021 17:08,2321 Kale Drive in Austin (TX),Stray,Normal,Cat,Unknown,2 months,Domestic Shorthair,Chocolate/Seal Point
A806287,Roulette,5/5/2021 16:51,5/5/2021 16:51,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,5 years,Pit Bull Mix,Brown
A824509,Koda,5/5/2021 16:32,5/5/2021 16:32,12220 Hunters Chase Drive in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Akita,Brown/White
A730879,Rudy,5/5/2021 15:58,5/5/2021 15:58,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,5 years,German Shepherd Mix,Red/Black
A833796,,5/5/2021 15:54,5/5/2021 15:54,Travis (TX),Stray,Sick,Cat,Intact Male,2 years,Domestic Medium Hair,Brown Tabby
A795412,Murray,5/5/2021 15:30,5/5/2021 15:30,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Pointer/Rat Terrier,White/Brown Brindle
A833785,,5/5/2021 15:10,5/5/2021 15:10,6107 E Riverside Drive in Austin (TX),Stray,Injured,Cat,Intact Female,7 months,Domestic Shorthair,White/Brown Tabby
A833787,,5/5/2021 15:08,5/5/2021 15:08,4903 Fm 1327 in Travis (TX),Stray,Normal,Dog,Intact Male,2 years,Great Pyrenees,White
A833792,Ms Meow,5/5/2021 14:48,5/5/2021 14:48,Travis (TX),Owner Surrender,Normal,Cat,Spayed Female,11 years,Domestic Shorthair Mix,Brown Tabby
A833791,Buzz Lightyear,5/5/2021 14:48,5/5/2021 14:48,Travis (TX),Owner Surrender,Normal,Dog,Neutered Male,7 years,Boxer Mix,Black/White
A833789,,5/5/2021 14:43,5/5/2021 14:43,9815 Copper Creek Drive in Austin (TX),Stray,Normal,Cat,Intact Male,1 year,Domestic Shorthair,Black
A833788,,5/5/2021 14:41,5/5/2021 14:41,Amber Pass in Austin (TX),Stray,Normal,Dog,Intact Female,4 months,Pit Bull,Tan
A833779,,5/5/2021 14:06,5/5/2021 14:06,1824 West Slaughter Lane in Austin (TX),Abandoned,Injured,Dog,Intact Male,1 month,American Pit Bull Terrier,White/Tan
A828404,Nala,5/5/2021 13:27,5/5/2021 13:27,Outside Jurisdiction,Owner Surrender,Normal,Dog,Spayed Female,1 year,Labrador Retriever Mix,Brown Brindle/White
A833784,,5/5/2021 13:08,5/5/2021 13:08,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby/White
A833777,,5/5/2021 13:08,5/5/2021 13:08,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Calico
A833782,,5/5/2021 13:08,5/5/2021 13:08,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,3 weeks,Snowshoe Mix,White/Gray
A833776,,5/5/2021 13:08,5/5/2021 13:08,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Calico
A833774,*82 G,5/5/2021 13:08,5/5/2021 13:08,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 day,Domestic Shorthair Mix,Brown Tabby/White
A833773,*68 G,5/5/2021 13:08,5/5/2021 13:08,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 day,Domestic Shorthair Mix,Calico
A833771,*228 G,5/5/2021 13:08,5/5/2021 13:08,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Black Smoke/White
